Source,Date Uploaded,Time Uploaded,Summary,Date,Estimated Time,Killed,Injured,Number of Incidents,High Impact,Source/Info Rating,Location Accuracy,Longitude,Province,Location,Activity Type,Incident Type,Incident Sub-Type,Instigator,Sub-Type,Target,Sub-Type,Criminal Charges,Physical_Context,Reason for Protest,Number of Protesters,PMU Faction,Tribal Group,Major Storm,Tactic ,Unusual Social / Political Tension,Threat Level,Disease Outbreak,Drought
,,,The Police received 15 new vehicles in Tete province on 27 September. The vehicles were to increase patrolling capabilities of the province.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-16.155674, 33.583309",Tete ,Tete,Announcement,Announcement,Announcement,Security_Forces,Mozambican Police *,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"The Ministry of Health announced 2 COVID deaths and 90 new COVID cases in Mozambique on 29 September. The daily recoveries were at 123, while 1,777 COVID cases were still active. ",29-09-2021,NA / Unknown,2,90,1,No,Reliable,National,"-25.969069, 32.585656",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Sources stated that Rwandan security forces reportedly ""prefer"" working with pro-government militiamen and were reportedly providing them with supplies. ",26-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-11.666409, 39.563417",Cabo Delgado,Cabo Delgado,Military Operations,Announcement,Announcement,Foreign_Military,Rwanda,Security_Forces,Pro-gov militia ,,,,,,,,,,,,
,,,Rwandan President Kagame in his 25 September Pemba speech stated that the Rwandan security forces were not deployed to only secure LNG projects in Cabo Delgado. Note that previous reports had indicated that Rwandan troops would secure Palma and MDP to allow the LNG project to restart.,25-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.978088, 40.535765",Cabo Delgado,Pemba,Military Operations,Announcement,Announcement,Foreign_Government,Rwanda,National_Government,National Government,,,,,,,,,,,,
,,,"Sources have reported that Mozambican and Rwandan troops have been garrisoned in various Palma district towns, but that these troops are not necessarily patrolling roads or bush areas.",26-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-10.777187, 40.476475",Cabo Delgado,Palma,Military Operations,Security_Response,Deployment,Security_Forces,Joint Forces,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Sources stated that locals living near the Tanzanian-Mozambique border have better food access compared to other areas of the district. The limited food access in other areas were suspected to be due to the limited security; meanwhile there appears to be some cross-border trade between Tanzania and Mozambican communities in Palma near the border.,26-09-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-10.545546, 40.393373",Cabo Delgado,Tanzania-Mozambique Border,Announcement,Announcement,Announcement,Local_Civilian,Civilian / Shop,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"An official stated on 30 September that around 9,000 former Mozambican liberation fighters have been living without government pensions for the past two years in insurgent affected areas of Cabo Delgado. The former liberation fighters were from Palma, Nangade, Muidumbe, Mocimboa da Praia and Macomia. Officials added that these former fighters have lost their identification, bank, and other documents due to the ongoing insurgency which has restricted them from accessing bank branches to obtain their pension.  In response, the government has announced that it is attempting to resolve the issue so that the former liberation fighters could access and obtain their pensions where they are currently residing or in a nearby area.",30-09-2021,NA / Unknown,0,0,1,No,Reliable,Provincial,"-12.976842, 40.530586",Cabo Delgado,Cabo Delgado,Announcement,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"the National Institute of Statistics published a report stating that domestic violence against children has declined from 2018 to 2020 by 30.4%.  Nampula and Maputo province saw the highest reported cases of violence against children during this time, with 1038 and 865 cases reported respectively.",29-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-15.121321, 39.268967",Nationwide,Nampula and Maputo,Crime,Announcement,Announcement,Local_Civilian,Civilian / Shop,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Insurgent abducted several children during an attack in Olumbi village of Palma District on or around 20 June. ,20-06-2021,NA / Unknown,0,0,1,No,Reliable,County / District,"-10.9916,40.4766",Cabo Delgado,Olumbi,Terrorism,Kidnapping,Kidnapping,Terrorist,Cabo Delgado Insurgents,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Police arrested an IDP on fraud charges after the man sold vouchers for 100 meticais to other IDPs, saying the vouchers could be redeemed for food in Namutequeliua, Nampula, on 28 September .",28-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-15.117979, 39.285731",Nampula,"Namutequeliua, Nampula",Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Nonviolent Criminal,Fraud / Forgery,,,,,,,,,,,
,,,Police arrested a school guard for sexual assault in Barragem of Nampula city on 28 September assault incident. The suspect reportedly raped a 16-year old student.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-15.117240, 39.265693",Nampula,"Barragem, Nampula",Crime,Physical_Altercation,Other Assault,Criminal,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Police arrested a school guard for sexual assault in Barragem of Nampula city on 28 September assault incident. The suspect reportedly raped a 16-year old student.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-15.117240, 39.265693",Nampula,"Barragem, Nampula",Crime,Security_Response,Arrest,Security_Forces,Mozambican Police *,Criminal,Violent Criminal,Murder / Assault,,,,,,,,,,,
,,,Security forces announced on 30 September that they seized 1.3 tons of cannabis in two bags during the end of a weeklong operation in Mozambique. This comes as 60g of heroin and 42g of cocaine were seized across the country in different operations.,28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.918089, 32.594148",Nationwide,Nationwide,Crime,Security_Response,Other Security Operation,Security_Forces,Mozambican Police *,Criminal,Nonviolent Criminal,,,,,,,,,,,,
,,,Security forces announced on 30 September that they seized 1.3 tons of cannabis in two bags during the end of a weeklong operation in Mozambique. This comes as 60g of heroin and 42g of cocaine were seized across the country in different operations.,30-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.918089, 32.594148",Nationwide,Nationwide,Crime,Smuggling,Smuggling: Drugs,Security_Forces,Mozambican Police *,Criminal,Nonviolent Criminal,,,,,,,,,,,,
,,,"Portugal announced that it had donated 1.217 million vaccine doses to Mozambique and Angola.   Mozambique's share of these doses reportedly arrived in the country on 28 September; sources later indicated this was a batch of 110,000 doses.",28-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.8988,32.5909",Maputo City,Maputo International Airport,Hazard,Announcement,Announcement,Foreign_Government,CPLP,Security_Forces,Mozambican Police *,,,,,,,,,,,,
,,,"Mozambique according to the WHO is one of 40 African countries who missed a goal of having 10% of its population vaccinated against COVID-19 by the end of September.  Only 14 African countries achieved this goal; collectively, only 4% of Africa's population is vaccinated against COVID-19.  In Mozambique, about 5.6% of the population has so far been vaccinated against the virus.",30-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969120, 32.585622",Nationwide,Nationwide,Hazard,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,The US government dedicated its new US Embassy in Maputo on 30 September. The new embassy is a 10 acre facility located along Maputo's Indian Ocean coast.,30-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.959577, 32.600419",Maputo,Maputo,Announcement,Announcement,Announcement,Foreign_Government,USA,National_Government,National Government,,,,,,,,,,,,
,,,"The Ministry of Health announced 2 new COVID deaths and 61 new COVID cases in Mozambique on 30 September. This comes as the 25 COVID inpatients were recorded. While Cabo Delgado noted the highest number of daily cases with 13 cases, Inhambane with 11 cases, and Maputo city also with 11 cases. ",30-09-2021,NA / Unknown,2,61,1,No,Reliable,National,"-25.969046, 32.585650",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Mozambique's 2019-2020 Family Expenditure survey released recently showed that household spending and inequality has increased between 2015 and 2020 in the country. Over this five year period, median spending fell by 17%, meaning most people are poorer than they were 10 years ago.  Urban spending fell 24%, while rural spending fell 13%.  Spending was down the most in Gaza (42%), Maputo City, (38%), and Cabo Delgado (38%).  More than 90% of the country's population lives under World Bank's poverty line of $1.90.  ",30-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.955722, 32.574833",Nationwide,Nationwide,Hazard,Warning,Disruptive Threat,Other,Other,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Sources stated that Mozambican security forces assaulted a civilian in Pemba traveling on a motorcycle after the man was accused of damaging a military vehicle.  The Rwandan security forces resolved the issue stating that the incident was related to the Rwandan security forces and that the assault was unnecessary.,30-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.9625,40.5046",Cabo Delgado,Pemba,Crime,Physical_Altercation,Other Assault,Security_Forces,Mozambican Military *,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,Sources stated that Mozambican security forces assaulted a civilian in Pemba traveling on a motorcycle after the man was accused of damaging a military vehicle.  The Rwandan security forces resolved the issue stating that the incident was related to the Rwandan security forces and that the assault was unnecessary.,30-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-12.9625,40.5046",Cabo Delgado,Pemba,Military Operations,Security_Response,Other Security Operation,Foreign_Military,Rwanda,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Hidden Debts Judge Efigenio Baptista on 30 September said that there is ""no evidence"" that President Nyusi or former President Guebuza were linked to the Hidden Debts Scandal, saying that anyone with such evidence should come forward.  Baptista made this statement after several defendants over the course of the Hidden Debts case have implicated Guebuza and Nyusi of being connected to the scheme.",30-09-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.949242, 32.587100",Nationwide,Nationwide,Crime,Announcement,Announcement,National_Government,National Government,Criminal,Nonviolent Criminal,Theft- Other,,,,,,,,,,,
,,,The Ministry of Health announced that it intends to immunize 7 million individuals by December 2021. The ministry stated that this was to prevent a possible fourth COVID wave in the country. ,01-10-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969029, 32.585579",Nationwide,Nationwide,Hazard,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Ministry of Health announced 36 COVID cases and a single death in Mozambique on 1 October. This comes as 312 daily recoveries were recorded. Cabo Delgado recorded 19 cases, being the highest for the day. Inhambane and Maputo City with 6 cases each.",01-10-2021,NA / Unknown,1,36,1,No,Reliable,National,"-25.969000, 32.585759",Nationwide,Nationwide,Hazard,Hazard,Disease Outbreak,Other,Disease,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"Sources stated that the local airport in Chongoene will soon begin operations. The 74 million USD airport was financed by China. The airport reportedly has the capacity to accommodate 200,000 passengers annually.",01-10-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-25.016024, 33.798456",Gaza,Chongoene,Announcement,Announcement,Announcement,Industry_Infrastructure,National Entry Point,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,IDPs from MDP in Mueda on or around 24 September were robbed of food aid by local residents who said they also should be receiving food assistance and that they too were starving.,24-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.6652,39.5587",Cabo Delgado,Mueda,Crime,Theft,Other Theft,Local_Civilian,Civilian / Shop,Local_Civilian,IDPs,,,,,,,,,,,,
,,,Locals brawled with each other during a dispute over the distribution of relief goods in Maputo Village in Mueda district on 28 September. Two children were killed after suffocating during a riot over food distribution.,28-09-2021,NA / Unknown,2,0,1,No,Reliable,County / District,"-11.665568, 39.559469",Cabo Delgado,Mueda,Civil Unrest,Physical_Altercation,Other Assault,Industry_Infrastructure,Violent Criminal,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,"The Ministry of Health announced that 72,277 individuals who have received a first dose of the AstraZeneca vaccine should take the second dose on 05 October in Nampula, Tete, Manica, Gaza, Maputo, and Maputo City.",01-10-2021,NA / Unknown,0,0,1,No,Reliable,National,"-25.969083, 32.585691",Nationwide,Nationwide,Hazard,Announcement,Announcement,National_Government,National Government,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
,,,A suspicious fire was reported north of MDP town on 29 September near Malindi village.  This may indicate an insurgent attack or a clash between security forces and insurgents.,29-09-2021,NA / Unknown,0,0,1,No,Reliable,City / Town,"-11.309175, 40.395513",Cabo Delgado,Mocimboa da Praia,Hazard,Hazard,Fire,Other,Other,Local_Civilian,Civilian / Shop,,,,,,,,,,,,
